lag_s,auc_move,r2_speed
-1.000000000000000000e+00,8.080398580352996518e-01,-1.046897523190497975e-01
-9.000000000000000222e-01,8.146378314223896577e-01,-1.024975914445785952e-01
-8.000000000000000444e-01,8.333753356565644088e-01,-1.014259760514538700e-01
-6.999999999999999556e-01,8.286727808865702594e-01,-9.401446770781671236e-02
-5.999999999999999778e-01,8.310874887563940439e-01,-9.218011080807642088e-02
-5.000000000000000000e-01,8.460758030969104393e-01,-8.698147327741082013e-02
-4.000000000000000222e-01,8.390830319440951701e-01,-8.487255302997472051e-02
-2.999999999999999889e-01,8.414490747732600306e-01,-8.400567874948552949e-02
-2.000000000000000111e-01,8.274349141933777796e-01,-8.647440450851413829e-02
-1.000000000000000056e-01,8.261840336032856280e-01,-7.855054009255565961e-02
-0.000000000000000000e+00,8.079391559495172626e-01,-7.670114987626810987e-02
1.000000000000000056e-01,8.067378705632644031e-01,-7.457874944810416462e-02
2.000000000000000111e-01,7.859238028658566133e-01,-7.593964510550992031e-02
2.999999999999999889e-01,7.640495492117785892e-01,-7.323403600197428420e-02
4.000000000000000222e-01,7.690386676386001819e-01,-8.057711883880705472e-02
5.000000000000000000e-01,7.498178025900393839e-01,-8.940521428501983781e-02
5.999999999999999778e-01,7.079621133848466030e-01,-9.437360802618835476e-02
6.999999999999999556e-01,6.648613455633075597e-01,-8.786423070771434696e-02
8.000000000000000444e-01,6.419033026046163659e-01,-9.286420550337678992e-02
9.000000000000000222e-01,6.264743698717445408e-01,-9.224511727964175567e-02
1.000000000000000000e+00,5.420033213911069625e-01,-8.667068494022707459e-02
