window_s,auc_move,r2_speed
1.000000000000000056e-01,7.945454449795141816e-01,-5.216874737766843267e-02
2.000000000000000111e-01,8.147380489074229626e-01,-4.977882117536074069e-02
3.499999999999999778e-01,8.060199897254063384e-01,-5.752963350234872181e-02
5.000000000000000000e-01,7.769653701050559524e-01,-7.418176402387519075e-02
7.500000000000000000e-01,7.707271642265367539e-01,-8.898180588809920244e-02
1.000000000000000000e+00,7.433393960854564053e-01,-1.018234567636462640e-01
1.500000000000000000e+00,6.741228613341411213e-01,-1.218438826514760959e-01
2.000000000000000000e+00,6.026590509517214533e-01,-1.451631623404825711e-01
3.000000000000000000e+00,5.686782744633972486e-01,-1.872638082549869520e-01
4.000000000000000000e+00,5.410176175516390185e-01,-2.207136698051135326e-01
